userid,serviceid,lam1000,lam3000,lam5000,effencicy
226,226-3,0.4,1.12,1.46,1.5
226,226-2,0.31,0.92,1.89,2.0
226,226-1,0.32,1.06,1.77,1.93
227,227-2,0.23,1.0,1.6,1.74
227,227-1,0.4,0.98,1.75,1.77
228,228-4,0.37,0.84,1.64,1.8
228,228-3,0.33,0.97,1.46,1.7
228,228-2,0.28,1.14,1.75,1.8
228,228-1,0.33,1.12,1.71,1.8
229,229-3,0.39,0.95,1.52,1.91
229,229-2,0.35,0.92,1.58,1.71
229,229-1,0.28,0.95,1.77,1.85
230,230-4,0.42,0.96,1.51,1.88
230,230-3,0.38,0.99,1.68,1.79
230,230-2,0.18,0.95,1.61,1.69
230,230-1,0.23,1.1,1.69,1.74
231,231-3,0.29,1.15,1.14,1.48
231,231-2,0.31,0.95,1.7,1.81
231,231-1,0.28,0.87,1.68,1.74
232,232-2,0.4,0.96,1.79,1.91
232,232-1,0.29,0.96,1.9,1.92
233,233-1,0.31,1.02,1.64,1.68
234,234-1,0.37,1.1,1.96,2.0
235,235-1,0.19,0.99,1.54,1.55
236,236-4,0.44,0.86,1.63,1.98
236,236-3,0.3,1.09,1.85,1.96
236,236-2,0.38,1.28,1.77,1.82
236,236-1,0.3,0.9,1.51,1.76
237,237-4,0.4,1.09,1.71,1.83
237,237-3,0.34,1.17,1.8,1.91
237,237-2,0.32,1.25,1.87,1.96
237,237-1,0.3,1.0,1.63,1.69
238,238-3,0.29,1.03,1.65,1.77
238,238-2,0.35,0.9,1.56,1.59
238,238-1,0.33,0.99,1.61,1.96
239,239-5,0.31,0.96,1.73,1.92
239,239-4,0.37,1.01,1.65,1.67
239,239-3,0.36,0.89,1.85,1.86
239,239-2,0.33,0.99,1.6,1.62
239,239-1,0.32,0.98,1.75,1.81
240,240-5,0.41,1.14,1.59,1.63
240,240-4,0.25,1.03,1.62,1.87
240,240-3,0.39,0.96,1.76,1.84
240,240-2,0.35,1.06,1.57,1.87
240,240-1,0.23,0.92,1.58,1.71
241,241-4,0.44,1.09,1.59,1.77
241,241-3,0.39,0.99,1.72,1.74
241,241-2,0.4,0.99,1.52,1.62
241,241-1,0.33,0.99,1.78,1.83
242,242-5,0.35,1.06,1.42,1.56
242,242-4,0.34,0.86,1.69,1.78
242,242-3,0.22,1.07,1.47,1.9
242,242-2,0.32,1.12,1.69,1.7
242,242-1,0.37,1.15,1.67,1.98
243,243-5,0.28,1.01,1.77,1.89
243,243-4,0.38,0.95,1.67,1.96
243,243-3,0.41,0.99,1.36,1.46
243,243-2,0.46,0.83,1.69,1.77
243,243-1,0.33,0.92,1.74,1.86
244,244-3,0.32,1.1,1.84,1.9
244,244-2,0.31,1.11,1.75,1.76
244,244-1,0.28,1.02,1.48,1.62
245,245-4,0.34,0.95,1.56,1.98
245,245-3,0.32,1.22,1.56,1.63
245,245-2,0.36,0.97,1.63,1.72
245,245-1,0.31,1.13,1.48,1.85
246,246-1,0.36,0.97,1.6,1.94
247,247-5,0.34,1.02,1.88,1.9
247,247-4,0.4,1.39,1.83,1.94
247,247-3,0.36,1.05,1.7,1.71
247,247-2,0.29,0.88,1.8,1.91
247,247-1,0.31,0.96,1.73,1.84
248,248-2,0.34,0.89,1.64,1.98
248,248-1,0.39,0.97,1.6,1.6
249,249-2,0.37,1.02,1.59,1.61
249,249-1,0.54,1.15,1.53,1.64
250,250-1,0.37,1.08,1.92,1.99
251,251-5,0.4,0.97,1.7,1.75
251,251-4,0.3,0.9,1.84,1.87
251,251-3,0.46,0.89,1.84,1.91
251,251-2,0.31,1.03,1.51,1.95
251,251-1,0.48,1.11,1.7,1.71
252,252-2,0.38,1.18,1.44,1.56
252,252-1,0.3,0.89,1.65,1.66
253,253-4,0.45,0.97,1.65,1.69
253,253-3,0.41,1.02,1.75,1.78
253,253-2,0.28,0.94,1.83,1.99
253,253-1,0.43,0.86,1.8,1.92
254,254-2,0.35,0.99,1.77,1.87
254,254-1,0.31,0.9,1.83,1.85
255,255-1,0.51,1.15,1.29,1.41
256,256-2,0.32,0.94,1.63,1.67
256,256-1,0.3,0.93,1.84,1.95
257,257-2,0.33,1.0,1.51,1.54
257,257-1,0.24,1.12,1.64,1.78
258,258-2,0.35,1.08,1.58,1.69
258,258-1,0.31,1.14,1.63,1.71
259,259-3,0.38,1.04,1.76,1.84
259,259-2,0.26,0.99,1.67,1.68
259,259-1,0.36,0.88,1.81,1.85
260,260-1,0.38,0.92,1.7,1.71
261,261-5,0.26,1.03,1.62,1.72
261,261-4,0.35,1.03,1.82,1.93
261,261-3,0.33,1.05,1.39,1.89
261,261-2,0.37,1.02,0.02,1.16
261,261-1,0.34,1.0,1.48,1.51
262,262-1,0.39,1.09,1.88,1.9
263,263-4,0.33,0.91,1.57,1.67
263,263-3,0.39,0.93,1.61,1.69
263,263-2,0.34,1.15,1.95,2.0
263,263-1,0.32,1.03,1.59,1.76
264,264-3,0.36,1.19,1.46,1.55
264,264-2,0.28,1.14,1.61,1.65
264,264-1,0.42,0.79,1.43,1.51
265,265-5,0.31,1.01,1.77,1.81
265,265-4,0.32,1.06,1.73,1.76
265,265-3,0.36,1.16,1.62,1.75
265,265-2,0.34,1.03,1.55,1.66
265,265-1,0.33,1.1,1.67,1.83
266,266-3,0.32,1.1,1.58,1.61
266,266-2,0.4,0.9,1.56,1.67
266,266-1,0.44,1.04,1.72,1.8
267,267-5,0.34,1.05,1.54,1.57
267,267-4,0.33,1.1,1.62,1.89
267,267-3,0.49,0.99,1.59,1.71
267,267-2,0.4,1.0,1.65,1.78
267,267-1,0.28,1.13,1.59,1.6
268,268-1,0.35,0.77,1.74,1.8
269,269-3,0.32,1.18,1.77,1.8
269,269-2,0.47,1.12,1.65,1.66
269,269-1,0.34,1.11,1.76,1.9
270,270-3,0.35,1.04,1.75,1.81
270,270-2,0.37,1.02,1.68,1.87
270,270-1,0.28,0.97,1.79,1.83
271,271-5,0.32,0.99,1.5,1.54
271,271-4,0.35,0.98,1.56,1.57
271,271-3,0.41,1.11,1.72,1.76
271,271-2,0.33,0.97,1.59,1.64
271,271-1,0.26,1.08,1.59,1.84
272,272-5,0.33,1.23,1.65,1.75
272,272-4,0.4,1.11,1.7,1.7
272,272-3,0.25,1.13,1.57,1.63
272,272-2,0.42,1.17,1.5,1.64
272,272-1,0.3,1.06,1.84,1.86
273,273-1,0.42,0.84,1.48,1.62
274,274-3,0.37,0.92,1.38,1.44
274,274-2,0.29,1.03,1.72,1.72
274,274-1,0.34,1.13,1.54,1.96
275,275-2,0.38,1.19,1.71,1.79
275,275-1,0.27,0.82,1.6,1.69
276,276-2,0.34,1.09,1.5,1.58
276,276-1,0.39,1.04,1.79,1.85
277,277-2,0.29,1.01,1.78,1.87
277,277-1,0.37,1.05,1.71,1.78
278,278-3,0.37,1.02,1.59,1.63
278,278-2,0.38,1.0,1.76,1.9
278,278-1,0.25,1.12,1.72,1.83
279,279-5,0.37,0.96,0.02,1.03
279,279-4,0.31,1.02,1.74,1.82
279,279-3,0.35,1.08,1.62,1.76
279,279-2,0.23,0.98,1.8,1.81
279,279-1,0.29,1.01,1.5,1.9
280,280-2,0.35,1.14,1.36,1.45
280,280-1,0.31,1.03,1.78,1.9
281,281-1,0.44,1.12,1.8,1.99
282,282-4,0.39,0.99,1.49,1.6
282,282-3,0.36,0.99,1.7,1.78
282,282-2,0.41,1.03,1.39,1.74
282,282-1,0.31,1.02,1.47,1.52
283,283-3,0.28,1.08,1.71,1.8
283,283-2,0.36,0.94,1.56,1.86
283,283-1,0.27,1.06,1.63,1.69
284,284-5,0.28,0.97,1.8,1.93
284,284-4,0.33,0.89,1.63,1.75
284,284-3,0.43,1.1,1.45,1.78
284,284-2,0.36,0.92,1.77,1.92
284,284-1,0.29,1.04,1.82,1.9
285,285-3,0.3,1.1,1.6,1.62
285,285-2,0.42,0.88,1.62,1.63
285,285-1,0.28,1.1,1.64,1.7
286,286-3,0.32,1.12,1.73,1.99
286,286-2,0.33,0.99,1.61,1.68
286,286-1,0.36,1.0,1.88,1.88
287,287-1,0.31,1.03,1.67,1.69
288,288-4,0.47,0.96,1.63,1.63
288,288-3,0.44,1.24,1.53,1.68
288,288-2,0.35,0.98,1.5,1.74
288,288-1,0.3,0.9,1.71,1.71
289,289-2,0.36,1.1,1.62,1.67
289,289-1,0.29,0.94,1.71,1.8
290,290-5,0.26,0.89,1.64,1.73
290,290-4,0.39,1.23,1.61,1.7
290,290-3,0.32,1.03,1.5,1.54
290,290-2,0.22,1.21,1.7,1.82
290,290-1,0.28,1.0,1.8,1.85
291,291-5,0.34,1.07,1.64,1.71
291,291-4,0.33,1.03,1.81,1.93
291,291-3,0.41,1.03,1.87,1.88
291,291-2,0.26,1.03,1.75,1.75
291,291-1,0.28,1.15,1.67,1.79
292,292-2,0.38,0.87,1.79,1.79
292,292-1,0.36,0.82,1.57,1.85
293,293-2,0.39,1.05,1.6,1.93
293,293-1,0.34,1.16,1.49,1.5
294,294-5,0.2,1.02,1.57,1.61
294,294-4,0.32,0.8,1.53,1.95
294,294-3,0.36,1.0,1.58,1.59
294,294-2,0.37,1.05,1.67,1.7
294,294-1,0.42,1.01,1.76,1.77
295,295-3,0.24,1.06,1.64,1.91
295,295-2,0.34,1.09,1.68,1.75
295,295-1,0.32,0.98,1.63,1.88
296,296-1,0.35,1.06,1.5,1.74
297,297-3,0.34,1.03,1.88,1.97
297,297-2,0.36,0.95,1.52,1.63
297,297-1,0.4,0.97,1.81,1.89
298,298-3,0.34,1.04,1.85,1.89
298,298-2,0.24,1.0,1.87,2.0
298,298-1,0.43,0.93,1.97,2.0
299,299-1,0.33,1.05,1.89,1.97
300,300-4,0.42,0.83,1.43,1.75
300,300-3,0.34,1.11,1.77,1.86
300,300-2,0.37,0.98,1.61,1.61
300,300-1,0.31,1.04,1.75,1.82
301,301-3,0.41,0.87,1.87,1.91
301,301-2,0.37,1.0,1.64,1.89
301,301-1,0.27,0.97,1.7,1.84
302,302-4,0.37,1.0,1.82,1.9
302,302-3,0.38,1.13,1.69,1.77
302,302-2,0.3,1.03,1.72,1.77
302,302-1,0.33,1.09,1.56,1.62
303,303-4,0.4,0.94,1.58,1.59
303,303-3,0.34,1.03,1.69,1.87
303,303-2,0.33,0.86,1.61,1.75
303,303-1,0.33,0.88,1.67,1.69
304,304-4,0.24,1.11,1.65,1.73
304,304-3,0.42,1.1,1.65,1.84
304,304-2,0.35,1.14,1.96,1.97
304,304-1,0.34,0.75,1.65,1.72
305,305-4,0.32,0.92,1.79,1.9
305,305-3,0.26,1.08,1.61,1.62
305,305-2,0.36,1.15,1.86,1.88
305,305-1,0.27,1.03,1.64,1.68
306,306-5,0.35,1.12,1.57,1.89
306,306-4,0.37,1.04,1.46,1.98
306,306-3,0.3,1.0,1.63,1.66
306,306-2,0.32,1.02,1.66,1.73
306,306-1,0.35,1.11,1.63,1.69
307,307-5,0.45,0.85,1.68,1.8
307,307-4,0.32,1.04,1.87,1.92
307,307-3,0.33,0.92,1.68,1.79
307,307-2,0.34,1.06,1.47,1.93
307,307-1,0.49,1.09,1.56,1.71
308,308-5,0.38,1.05,1.46,1.9
308,308-4,0.29,0.93,1.87,1.97
308,308-3,0.31,0.86,1.65,1.66
308,308-2,0.37,0.97,1.68,1.74
308,308-1,0.36,1.0,1.71,1.79
309,309-2,0.35,0.9,1.68,1.81
309,309-1,0.26,1.06,1.61,1.82
310,310-4,0.32,0.85,1.85,1.92
310,310-3,0.17,0.89,1.71,1.81
310,310-2,0.35,1.08,1.76,1.79
310,310-1,0.3,0.9,1.65,1.7
311,311-5,0.42,1.08,1.63,1.79
311,311-4,0.3,1.07,1.45,1.54
311,311-3,0.32,1.14,1.71,1.86
311,311-2,0.36,0.94,1.52,1.58
311,311-1,0.41,1.14,1.53,1.59
312,312-2,0.34,0.95,1.64,1.77
312,312-1,0.42,0.96,1.7,1.78
313,313-4,0.27,1.05,1.35,1.36
313,313-3,0.39,0.88,1.96,1.97
313,313-2,0.29,1.16,1.56,1.6
313,313-1,0.38,1.07,1.51,1.82
314,314-3,0.29,0.95,1.9,1.95
314,314-2,0.42,0.93,1.5,1.67
314,314-1,0.43,0.94,1.74,1.8
315,315-1,0.38,1.05,1.41,1.62
316,316-4,0.43,1.0,1.6,1.65
316,316-3,0.33,0.92,1.64,1.78
316,316-2,0.35,1.01,1.88,1.93
316,316-1,0.27,0.93,1.52,1.96
317,317-1,0.35,1.09,1.79,1.86
318,318-1,0.32,1.07,1.75,1.89
319,319-4,0.45,1.03,1.54,1.7
319,319-3,0.35,0.86,1.63,1.67
319,319-2,0.29,0.92,1.72,1.72
319,319-1,0.39,1.0,1.67,1.75
320,320-1,0.33,0.81,1.46,1.75
321,321-2,0.28,1.09,1.48,1.57
321,321-1,0.35,1.11,1.46,1.47
322,322-2,0.27,1.05,1.83,1.9
322,322-1,0.42,0.88,1.64,1.94
323,323-5,0.27,0.99,1.84,1.86
323,323-4,0.36,1.05,1.84,1.94
323,323-3,0.31,0.88,1.77,1.98
323,323-2,0.26,0.94,1.64,1.78
323,323-1,0.3,1.27,1.72,1.79
324,324-2,0.33,0.94,1.73,1.79
324,324-1,0.35,1.13,1.57,1.77
325,325-1,0.43,1.0,1.45,1.78
326,326-5,0.26,1.13,1.49,1.51
326,326-4,0.25,1.01,1.68,2.0
326,326-3,0.29,0.9,1.52,1.53
326,326-2,0.37,0.88,1.53,1.62
326,326-1,0.36,1.16,1.69,1.84
327,327-5,0.41,1.0,1.59,1.59
327,327-4,0.36,1.07,1.5,1.53
327,327-3,0.39,1.01,1.74,1.79
327,327-2,0.38,1.07,1.77,1.9
327,327-1,0.35,1.03,1.65,1.79
328,328-3,0.3,1.03,1.61,1.76
328,328-2,0.31,1.08,1.63,1.76
328,328-1,0.33,0.89,1.61,1.85
329,329-4,0.32,1.01,1.45,1.52
329,329-3,0.3,1.25,1.88,1.91
329,329-2,0.35,0.98,1.54,1.83
329,329-1,0.42,0.9,1.46,1.91
330,330-3,0.28,0.92,1.76,1.85
330,330-2,0.35,0.98,1.88,1.97
330,330-1,0.39,0.87,1.76,1.95
331,331-4,0.34,0.84,1.46,1.47
331,331-3,0.31,0.83,1.55,1.61
331,331-2,0.22,1.06,1.73,1.83
331,331-1,0.31,1.07,1.57,1.98
332,332-2,0.32,0.85,1.76,1.9
332,332-1,0.25,1.02,1.62,1.64
333,333-4,0.32,1.07,1.63,1.72
333,333-3,0.48,1.04,1.46,1.47
333,333-2,0.39,1.04,1.57,1.63
333,333-1,0.37,0.9,1.48,1.56
334,334-2,0.4,1.01,1.68,1.78
334,334-1,0.24,1.01,1.52,1.6
335,335-4,0.35,1.02,1.84,1.95
335,335-3,0.3,0.98,1.58,1.69
335,335-2,0.27,0.96,1.37,1.64
335,335-1,0.4,1.0,1.54,1.89
336,336-5,0.32,0.99,1.41,1.89
336,336-4,0.32,1.02,1.68,1.76
336,336-3,0.34,1.17,1.56,1.64
336,336-2,0.44,1.03,1.64,1.67
336,336-1,0.34,0.98,1.74,1.74
337,337-5,0.29,0.97,1.83,1.95
337,337-4,0.37,0.91,1.6,1.62
337,337-3,0.36,1.05,1.58,1.62
337,337-2,0.39,0.92,1.59,1.68
337,337-1,0.35,1.0,1.42,1.52
338,338-2,0.35,0.99,1.55,1.69
338,338-1,0.24,0.97,1.67,1.81
339,339-2,0.35,1.11,1.76,1.79
339,339-1,0.33,0.96,1.64,1.75
340,340-5,0.48,1.06,1.9,2.0
340,340-4,0.47,1.12,1.53,1.87
340,340-3,0.29,1.09,1.54,1.63
340,340-2,0.39,0.96,1.49,1.63
340,340-1,0.21,1.05,1.73,1.86
341,341-2,0.34,1.06,1.6,1.73
341,341-1,0.44,1.02,1.96,2.0
342,342-3,0.28,0.91,1.55,1.61
342,342-2,0.35,1.07,1.77,1.91
342,342-1,0.41,0.9,1.92,2.0
343,343-3,0.42,1.11,1.43,1.55
343,343-2,0.41,0.92,1.81,1.91
343,343-1,0.33,0.87,1.73,1.84
344,344-2,0.28,1.07,1.85,1.96
344,344-1,0.35,1.08,1.51,1.76
345,345-1,0.3,0.98,1.57,1.68
346,346-5,0.35,1.21,1.68,1.83
346,346-4,0.23,0.98,1.71,1.75
346,346-3,0.27,1.11,1.63,1.64
346,346-2,0.25,1.02,1.7,1.81
346,346-1,0.41,1.0,1.54,1.59
347,347-4,0.37,0.99,1.58,1.67
347,347-3,0.18,1.03,1.74,1.81
347,347-2,0.22,1.03,1.61,1.63
347,347-1,0.29,0.87,1.6,1.88
348,348-4,0.36,0.99,1.6,1.61
348,348-3,0.35,1.18,1.5,1.51
348,348-2,0.35,1.12,1.59,1.71
348,348-1,0.31,1.06,1.55,1.6
349,349-5,0.4,1.17,1.68,1.78
349,349-4,0.33,1.1,1.51,1.63
349,349-3,0.37,0.95,1.74,1.78
349,349-2,0.34,0.95,1.45,1.46
349,349-1,0.41,1.01,1.72,1.84
350,350-3,0.39,0.93,1.55,1.97
350,350-2,0.37,1.13,1.42,1.93
350,350-1,0.33,1.06,1.4,1.49
351,351-5,0.34,1.11,1.83,1.93
351,351-4,0.41,0.81,1.68,1.77
351,351-3,0.17,0.96,1.66,1.68
351,351-2,0.37,0.99,1.69,1.94
351,351-1,0.34,1.05,1.77,1.86
352,352-2,0.4,0.91,1.77,1.78
352,352-1,0.53,1.01,1.67,1.91
353,353-3,0.38,0.96,1.79,1.92
353,353-2,0.26,1.18,1.57,1.67
353,353-1,0.33,1.0,1.61,1.68
354,354-4,0.28,1.16,1.86,1.89
354,354-3,0.39,1.02,1.41,1.53
354,354-2,0.38,0.95,1.59,1.88
354,354-1,0.3,0.78,1.91,2.0
355,355-3,0.3,1.13,1.87,1.87
355,355-2,0.34,0.82,1.82,1.94
355,355-1,0.38,1.12,1.48,1.56
356,356-4,0.37,0.94,1.55,1.62
356,356-3,0.36,1.09,1.67,1.86
356,356-2,0.4,1.09,1.59,1.64
356,356-1,0.36,0.92,1.53,1.62
357,357-5,0.37,1.05,1.67,1.8
357,357-4,0.36,0.92,1.57,1.64
357,357-3,0.38,1.15,1.7,1.85
357,357-2,0.25,0.96,1.84,1.96
357,357-1,0.41,1.09,1.74,1.8
358,358-2,0.36,0.98,1.68,1.96
358,358-1,0.29,1.06,1.85,1.91
359,359-2,0.33,1.04,1.89,1.92
359,359-1,0.3,1.04,1.62,1.62
360,360-5,0.31,1.01,1.7,1.81
360,360-4,0.33,0.96,1.68,1.77
360,360-3,0.44,0.79,1.62,1.7
360,360-2,0.3,0.9,1.67,1.71
360,360-1,0.32,0.88,1.72,1.76
361,361-1,0.45,1.08,1.64,1.68
362,362-2,0.37,0.91,1.6,1.77
362,362-1,0.26,0.95,1.61,1.72
363,363-3,0.55,1.08,1.65,1.72
363,363-2,0.32,1.0,1.83,1.88
363,363-1,0.34,0.97,1.65,1.78
364,364-2,0.42,1.01,1.67,1.7
364,364-1,0.34,1.02,1.78,1.79
365,365-4,0.39,0.95,1.63,1.66
365,365-3,0.38,1.07,1.56,1.75
365,365-2,0.47,0.97,1.45,1.48
365,365-1,0.3,0.98,1.76,1.81
366,366-5,0.36,0.91,1.57,1.59
366,366-4,0.4,0.96,1.5,1.53
366,366-3,0.31,1.0,1.72,1.85
366,366-2,0.4,1.12,1.61,1.64
366,366-1,0.3,0.82,1.59,1.66
367,367-3,0.4,0.9,1.59,1.69
367,367-2,0.32,0.83,1.86,1.87
367,367-1,0.24,1.06,1.56,1.88
368,368-3,0.31,0.98,1.79,1.94
368,368-2,0.24,0.89,1.77,1.89
368,368-1,0.33,1.02,1.87,1.92
369,369-3,0.31,1.04,1.61,1.73
369,369-2,0.4,0.93,1.7,1.8
369,369-1,0.31,0.83,1.76,1.79
370,370-1,0.33,0.94,1.79,1.81
371,371-1,0.33,1.13,1.56,1.83
372,372-3,0.28,0.86,1.61,1.73
372,372-2,0.3,1.15,1.78,1.81
372,372-1,0.35,0.81,1.78,1.87
373,373-5,0.41,0.93,1.74,1.79
373,373-4,0.3,1.0,1.76,1.86
373,373-3,0.37,0.98,0.02,1.99
373,373-2,0.37,0.9,1.73,1.81
373,373-1,0.26,1.01,1.92,2.0
374,374-2,0.26,0.8,1.54,1.57
374,374-1,0.35,1.06,1.89,1.92
375,375-2,0.32,1.04,1.77,1.9
375,375-1,0.24,0.97,1.62,1.64
376,376-5,0.53,1.19,1.72,1.83
376,376-4,0.29,1.13,1.74,1.75
376,376-3,0.23,0.86,1.85,2.0
376,376-2,0.32,0.96,1.86,1.9
376,376-1,0.34,1.06,1.58,1.64
377,377-3,0.26,1.12,1.7,1.84
377,377-2,0.26,1.07,1.69,1.78
377,377-1,0.36,1.0,1.64,1.83
378,378-2,0.36,0.94,1.51,1.57
378,378-1,0.29,0.96,1.69,1.73
379,379-5,0.33,1.07,1.97,2.0
379,379-4,0.44,0.93,1.57,1.62
379,379-3,0.38,1.06,1.39,1.77
379,379-2,0.3,1.23,1.8,1.89
379,379-1,0.41,0.97,1.79,1.9
380,380-2,0.49,1.06,1.49,1.59
380,380-1,0.23,1.1,1.55,1.6
381,381-1,0.29,0.99,1.93,1.99
382,382-2,0.33,1.03,1.8,1.82
382,382-1,0.36,1.11,1.62,1.65
383,383-3,0.38,0.94,1.44,1.52
383,383-2,0.37,1.21,1.52,1.56
383,383-1,0.28,0.92,1.77,1.78
384,384-5,0.38,0.86,1.74,1.97
384,384-4,0.36,0.99,1.51,1.76
384,384-3,0.38,1.1,1.57,1.68
384,384-2,0.31,0.96,1.45,1.83
384,384-1,0.3,0.85,1.88,1.98
385,385-1,0.31,0.96,1.62,1.69
386,386-1,0.38,0.99,1.72,1.75
387,387-5,0.33,1.09,1.77,1.91
387,387-4,0.24,0.88,1.93,1.93
387,387-3,0.26,0.96,1.57,1.76
387,387-2,0.34,0.94,1.56,1.59
387,387-1,0.38,1.04,1.66,1.75
388,388-5,0.32,1.19,1.66,1.79
388,388-4,0.37,1.17,1.67,1.69
388,388-3,0.3,0.99,1.42,1.83
388,388-2,0.31,0.79,1.63,1.73
388,388-1,0.36,0.97,1.76,1.84
389,389-4,0.37,1.07,1.76,1.88
389,389-3,0.39,1.11,1.47,1.57
389,389-2,0.32,1.05,1.74,1.84
389,389-1,0.29,0.82,1.74,1.91
390,390-5,0.37,0.92,1.67,1.81
390,390-4,0.36,0.82,1.49,1.59
390,390-3,0.28,0.92,1.81,1.82
390,390-2,0.33,0.87,1.84,1.9
390,390-1,0.41,1.01,1.6,1.73
391,391-2,0.38,0.93,1.69,1.8
391,391-1,0.34,1.11,1.64,1.74
392,392-3,0.34,0.73,1.57,1.63
392,392-2,0.38,1.01,1.45,1.91
392,392-1,0.34,1.0,1.67,1.75
393,393-5,0.33,0.99,1.49,1.59
393,393-4,0.42,1.02,1.85,1.94
393,393-3,0.3,1.09,1.52,1.64
393,393-2,0.39,1.14,1.72,1.82
393,393-1,0.31,1.12,1.65,1.68
394,394-3,0.32,1.12,1.56,1.62
394,394-2,0.36,0.82,1.61,1.7
394,394-1,0.4,1.05,1.67,1.77
395,395-1,0.24,0.96,1.71,1.96
396,396-1,0.3,1.0,1.66,1.74
397,397-4,0.36,0.97,1.49,1.76
397,397-3,0.34,0.94,1.61,1.68
397,397-2,0.29,1.04,1.5,1.61
397,397-1,0.35,1.06,1.81,1.9
398,398-1,0.36,1.01,1.49,1.58
399,399-5,0.36,1.07,1.58,1.69
399,399-4,0.23,1.06,1.76,1.82
399,399-3,0.38,0.97,1.94,1.96
399,399-2,0.25,1.02,1.72,1.83
399,399-1,0.33,0.83,1.6,1.91
400,400-4,0.27,0.99,1.71,1.75
400,400-3,0.34,0.81,1.5,1.5
400,400-2,0.3,1.04,1.79,1.8
400,400-1,0.3,0.99,1.76,1.9
401,401-2,0.37,0.97,1.67,1.75
401,401-1,0.27,1.22,1.85,1.85
402,402-1,0.37,1.07,1.82,1.94
403,403-4,0.44,0.95,1.84,1.89
403,403-3,0.35,0.9,1.56,1.68
403,403-2,0.31,0.88,1.66,1.81
403,403-1,0.44,0.9,1.69,1.82
404,404-4,0.33,1.09,1.8,1.85
404,404-3,0.28,1.0,1.62,1.77
404,404-2,0.3,1.08,1.55,1.65
404,404-1,0.32,0.86,1.8,1.85
405,405-2,0.34,0.89,1.44,1.89
405,405-1,0.42,1.2,1.66,1.92
406,406-1,0.45,1.03,1.73,1.87
407,407-1,0.36,0.94,1.58,1.62
408,408-1,0.32,0.94,1.83,1.95
409,409-5,0.26,1.13,1.49,1.72
409,409-4,0.48,0.87,1.62,1.7
409,409-3,0.4,1.04,1.69,1.8
409,409-2,0.36,0.93,1.66,1.89
409,409-1,0.32,0.95,1.86,1.92
410,410-5,0.37,1.04,1.63,1.67
410,410-4,0.27,1.07,1.79,1.9
410,410-3,0.38,1.1,1.71,1.75
410,410-2,0.41,1.02,1.83,1.92
410,410-1,0.37,0.91,1.47,1.88
411,411-2,0.33,0.97,1.58,1.6
411,411-1,0.3,0.79,1.81,1.92
412,412-2,0.26,1.03,1.56,1.66
412,412-1,0.31,0.93,1.61,1.86
413,413-3,0.3,1.03,1.74,1.74
413,413-2,0.42,1.15,1.74,1.84
413,413-1,0.31,1.01,1.64,1.75
414,414-2,0.41,1.01,1.78,1.83
414,414-1,0.4,1.02,1.79,1.88
415,415-4,0.46,1.12,1.45,1.95
415,415-3,0.33,0.85,1.86,1.96
415,415-2,0.37,0.96,1.84,1.96
415,415-1,0.52,0.95,1.54,1.77
416,416-1,0.4,1.05,1.68,1.75
417,417-1,0.42,1.02,1.81,1.92
418,418-5,0.27,1.15,1.61,1.69
418,418-4,0.4,0.9,1.83,1.93
418,418-3,0.4,0.85,1.52,1.62
418,418-2,0.34,1.06,1.81,1.83
418,418-1,0.29,0.93,1.66,1.69
419,419-2,0.38,0.91,1.71,1.77
419,419-1,0.33,1.04,1.7,1.78
420,420-2,0.39,0.98,1.66,1.81
420,420-1,0.33,0.94,1.67,1.75
421,421-5,0.36,0.94,1.65,1.79
421,421-4,0.31,1.06,1.79,1.86
421,421-3,0.38,0.94,1.69,1.75
421,421-2,0.47,0.95,1.67,1.67
421,421-1,0.3,1.01,1.81,1.82
422,422-5,0.39,1.04,1.57,1.69
422,422-4,0.33,0.98,1.64,1.74
422,422-3,0.27,0.86,1.66,1.87
422,422-2,0.37,1.03,1.61,1.95
422,422-1,0.39,0.99,1.32,1.45
423,423-5,0.49,1.13,1.55,1.64
423,423-4,0.26,0.98,1.61,1.65
423,423-3,0.37,0.96,1.59,1.68
423,423-2,0.51,1.17,1.66,1.76
423,423-1,0.36,0.99,1.66,1.78
424,424-5,0.38,0.88,1.61,1.71
424,424-4,0.31,1.05,1.56,1.7
424,424-3,0.35,1.13,1.53,1.78
424,424-2,0.4,0.96,1.67,1.93
424,424-1,0.3,1.08,1.69,1.8
425,425-2,0.4,0.93,1.65,1.79
425,425-1,0.44,0.87,1.67,1.77
426,426-1,0.26,0.89,1.66,1.96
427,427-3,0.38,1.04,1.77,1.86
427,427-2,0.34,1.04,1.65,1.75
427,427-1,0.42,0.9,1.41,1.47
428,428-5,0.24,1.0,1.8,1.9
428,428-4,0.4,1.0,1.9,1.97
428,428-3,0.33,1.03,1.62,1.63
428,428-2,0.29,0.94,1.47,1.62
428,428-1,0.32,1.06,1.58,1.93
429,429-4,0.34,1.08,1.55,1.6
429,429-3,0.18,1.01,1.36,1.49
429,429-2,0.53,1.08,1.83,2.0
429,429-1,0.26,1.14,1.67,1.98
430,430-2,0.37,1.06,1.66,1.7
430,430-1,0.39,1.22,1.48,1.6
431,431-1,0.38,1.03,1.84,1.97
432,432-1,0.33,0.93,1.75,1.84
433,433-3,0.35,0.98,1.6,1.66
433,433-2,0.4,1.14,1.55,1.61
433,433-1,0.4,0.9,1.64,1.78
434,434-1,0.34,0.95,1.75,1.81
